timestamp,segment_id,segment_name,latitude,longitude,current_speed_kmh,free_flow_speed_kmh,current_travel_time_sec,free_flow_travel_time_sec,confidence
2026-02-21 07:49:42.484673,Segment 1,World Trade Centre,25.2262,55.287,35,52,61,41,1
2026-02-21 07:49:43.556211,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-21 07:49:44.620212,Segment 3,Business Bay,25.1872,55.2644,16,24,211,141,1
2026-02-21 07:49:45.694982,Segment 4,MOE,25.1182,55.2006,27,36,663,497,1
2026-02-21 08:21:54.700626,Segment 1,World Trade Centre,25.2262,55.287,37,52,58,41,1
2026-02-21 08:21:55.766661,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-21 08:21:56.840488,Segment 3,Business Bay,25.1872,55.2644,14,23,242,147,1
2026-02-21 08:21:57.911494,Segment 4,MOE,25.1182,55.2006,24,35,746,511,1
2026-02-21 08:57:55.071362,Segment 1,World Trade Centre,25.2262,55.287,25,53,86,40,1
2026-02-21 08:57:56.189198,Segment 2,DIFC,25.2136,55.2796,88,104,481,407,1
2026-02-21 08:57:57.310775,Segment 3,Business Bay,25.1872,55.2644,14,24,242,141,1
2026-02-21 08:57:58.429123,Segment 4,MOE,25.1182,55.2006,28,36,639,497,1
2026-02-21 09:40:05.127421,Segment 1,World Trade Centre,25.2262,55.287,33,52,65,41,1.0
2026-02-21 09:40:06.197912,Segment 2,DIFC,25.2136,55.2796,83,104,510,407,1.0
2026-02-21 09:40:07.272787,Segment 3,Business Bay,25.1872,55.2644,15,24,226,141,0.99
2026-02-21 09:40:08.343745,Segment 4,MOE,25.1182,55.2006,27,36,663,497,1.0
2026-02-21 09:59:15.812540,Segment 1,World Trade Centre,25.2262,55.287,22,47,97,45,1
2026-02-21 09:59:16.879841,Segment 2,DIFC,25.2136,55.2796,81,104,522,407,1
2026-02-21 09:59:17.947503,Segment 3,Business Bay,25.1872,55.2644,14,23,242,147,1
2026-02-21 09:59:19.015609,Segment 4,MOE,25.1182,55.2006,26,36,688,497,1
2026-02-21 10:39:50.189452,Segment 1,World Trade Centre,25.2262,55.287,33,52,65,41,1
2026-02-21 10:39:51.307977,Segment 2,DIFC,25.2136,55.2796,74,104,572,407,1
2026-02-21 10:39:52.424039,Segment 3,Business Bay,25.1872,55.2644,12,24,282,141,1
2026-02-21 10:39:53.542625,Segment 4,MOE,25.1182,55.2006,27,37,663,484,1
2026-02-21 11:00:51.331192,Segment 1,World Trade Centre,25.2262,55.287,24,52,89,41,1.0
2026-02-21 11:00:52.427361,Segment 2,DIFC,25.2136,55.2796,73,104,580,407,1.0
2026-02-21 11:00:53.532865,Segment 3,Business Bay,25.1872,55.2644,19,31,178,109,0.967302
2026-02-21 11:00:54.634449,Segment 4,MOE,25.1182,55.2006,29,35,617,511,1.0
2026-02-21 11:34:01.001669,Segment 1,World Trade Centre,25.2262,55.287,25,53,86,40,1
2026-02-21 11:34:02.068964,Segment 2,DIFC,25.2136,55.2796,84,104,504,407,1
2026-02-21 11:34:03.132972,Segment 3,Business Bay,25.1872,55.2644,13,24,260,141,1
2026-02-21 11:34:04.204942,Segment 4,MOE,25.1182,55.2006,24,37,746,484,1
2026-02-21 11:54:25.069058,Segment 1,World Trade Centre,25.2262,55.287,22,53,97,40,1.0
2026-02-21 11:54:26.187345,Segment 2,DIFC,25.2136,55.2796,86,103,492,411,1.0
2026-02-21 11:54:27.305012,Segment 3,Business Bay,25.1872,55.2644,17,23,199,147,0.99
2026-02-21 11:54:28.427332,Segment 4,MOE,25.1182,55.2006,26,37,688,484,1.0
2026-02-21 13:05:56.000376,Segment 1,World Trade Centre,25.2262,55.287,10,40,215,53,1.0
